#{"t_start": 1696320823.1795056, "env_id": "PandaReach-v3"}
r,l,t,is_success
-2.0,3,56.186043,True
-2.0,3,56.207414,True
-3.0,4,56.238448,True
-3.0,4,56.270882,True
-2.0,3,56.294152,True
-2.0,3,56.31666,True
-4.0,5,56.352747,True
-2.0,3,56.378401,True
-2.0,3,56.40316,True
-1.0,2,56.418194,True
-4.0,5,56.454908,True
-2.0,3,56.477925,True
-2.0,3,56.503645,True
-2.0,3,56.525637,True
-2.0,3,56.548697,True
-2.0,3,56.574129,True
-3.0,4,56.604564,True
-1.0,2,56.619955,True
-3.0,4,56.648837,True
-1.0,2,56.664242,True
-1.0,2,56.679978,True
-3.0,4,56.709384,True
-2.0,3,56.731584,True
-2.0,3,56.757595,True
-1.0,2,56.773431,True
-2.0,3,56.796023,True
-2.0,3,56.81832,True
-2.0,3,56.845615,True
-1.0,2,56.863009,True
-2.0,3,56.887012,True
-2.0,3,56.909031,True
-3.0,4,56.940369,True
-3.0,4,56.97018,True
-4.0,5,57.005705,True
-2.0,3,57.02824,True
-2.0,3,57.054755,True
-2.0,3,57.078129,True
0.0,1,57.08634,True
-2.0,3,57.108083,True
-4.0,5,57.154612,True
0.0,1,57.162753,True
-3.0,4,57.193659,True
-3.0,4,57.223442,True
-1.0,2,57.240385,True
-2.0,3,57.266041,True
-1.0,2,57.28171,True
-2.0,3,57.303555,True
-3.0,4,57.336304,True
-1.0,2,57.352744,True
-4.0,5,57.390011,True
-1.0,2,57.404713,True
-2.0,3,57.429605,True
-2.0,3,57.45451,True
0.0,1,57.46226,True
-3.0,4,57.491852,True
-4.0,5,57.537893,True
-1.0,2,57.553448,True
-3.0,4,57.583265,True
-2.0,3,57.605375,True
0.0,1,57.614204,True
-2.0,3,57.641666,True
-1.0,2,57.657102,True
-3.0,4,57.6877,True
-1.0,2,57.707533,True
-1.0,2,57.724301,True
-2.0,3,57.749158,True
-2.0,3,57.77108,True
-2.0,3,57.797019,True
0.0,1,57.804841,True
-1.0,2,57.820828,True
-4.0,5,57.858749,True
-1.0,2,57.875882,True
0.0,1,57.884459,True
-1.0,2,57.899558,True
-3.0,4,57.928869,True
-4.0,5,57.972903,True
-5.0,6,58.017703,True
-2.0,3,58.039259,True
0.0,1,58.047561,True
-4.0,5,58.089767,True
-3.0,4,58.120429,True
-2.0,3,58.142348,True
-2.0,3,58.166895,True
-2.0,3,58.193712,True
-3.0,4,58.226247,True
-1.0,2,58.241885,True
-2.0,3,58.26561,True
-1.0,2,58.285214,True
-2.0,3,58.307733,True
-1.0,2,58.323297,True
-3.0,4,58.354698,True
0.0,1,58.363117,True
0.0,1,58.373388,True
-2.0,3,58.39924,True
-1.0,2,58.414993,True
-2.0,3,58.438352,True
-2.0,3,58.463263,True
-4.0,5,58.502947,True
-2.0,3,58.525602,True
-3.0,4,58.560434,True
-3.0,4,58.592176,True
-2.0,3,58.615509,True
-2.0,3,58.637694,True
-2.0,3,58.663133,True
-1.0,2,58.678368,True
-2.0,3,58.703434,True
-5.0,6,58.747262,True
-2.0,3,58.771678,True
-3.0,4,58.803421,True
-1.0,2,58.818613,True
-2.0,3,58.84046,True
-2.0,3,58.866603,True
-2.0,3,58.88988,True
0.0,1,58.898699,True
-3.0,4,58.928287,True
-1.0,2,58.944686,True
0.0,1,58.954045,True
-1.0,2,58.969848,True
-1.0,2,58.985183,True
-2.0,3,59.008149,True
-2.0,3,59.033005,True
-2.0,3,59.056564,True
-1.0,2,59.070503,True
-1.0,2,59.087615,True
-2.0,3,59.112028,True
-4.0,5,59.150152,True
-2.0,3,59.171723,True
-4.0,5,59.212121,True
-5.0,6,59.257152,True
-1.0,2,59.271146,True
-1.0,2,59.286226,True
0.0,1,59.293806,True
-2.0,3,59.319245,True
-1.0,2,59.334715,True
-4.0,5,59.37052,True
-3.0,4,59.402711,True
-2.0,3,59.426134,True
-3.0,4,59.456423,True
-3.0,4,59.485152,True
-2.0,3,59.508005,True
-3.0,4,59.537568,True
-2.0,3,59.559319,True
-2.0,3,59.582205,True
-2.0,3,59.6073,True
0.0,1,59.616209,True
-1.0,2,59.63237,True
-3.0,4,59.661198,True
